front	back	tags
Python: which values are falsy? (Ruby: only `nil`/`false`)	`False`, `None`, `0`, `0.0`, `""`, `[]`, `{}`, `set()`, `()`, and any empty collection. Everything else is truthy.	ruby-diff footgun
Logical operators: Python equivalents of Ruby/JS `&&`, `||`, `!`	`and`, `or`, `not` (keywords, not symbols). `&`/`|`/`^` are bitwise, not boolean.	ruby-diff syntax
Python's equivalent of `nil`, and how to test for it	`None`. Test identity with `x is None` / `x is not None` (not `== None`).	ruby-diff syntax
Ternary expression in Python (Ruby/JS: `cond ? a : b`)	`a if cond else b`	ruby-diff syntax
Does Python have `unless`, `until`, or postfix conditionals (`do_x if cond`)?	No. Only `if`/`elif`/`else` and `while`. No statement modifiers, no `unless`/`until`.	ruby-diff
String interpolation in Python (Ruby: `"hi #{name}"`)	f-strings: `f"hi {name}"`. Format specs: `f"{x:.2f}"`, `f"{x:>5}"`, `f"{x=}"` (debug).	ruby-diff string
Instantiate a class `Foo` (Ruby: `Foo.new`, JS: `new Foo()`)	`Foo()` — no `new`, no `.new`. `__init__` is the constructor.	ruby-diff syntax
Define a constructor and instance attributes	```python\nclass Dog:\n    def __init__(self, name):\n        self.name = name\n```\n`self` is explicit and is the first param of every method.	ruby-diff syntax
Does Python auto-return the last expression? (Ruby does)	No. You must write `return` explicitly; functions without it return `None`.	ruby-diff footgun
Are `?` and `!` allowed in Python method names? (`empty?`, `save!`)	No. Identifiers are `[A-Za-z_][A-Za-z0-9_]*`. Convention: `is_empty()`, and trailing `_` to avoid keywords (`class_`).	ruby-diff
Map a function over a list (Ruby: `arr.map { ... }`)	List comprehension: `[f(x) for x in arr]` — Slatkin: prefer this. Reach for `list(map(f, arr))` only when `f` is an existing named function.	ruby-diff comprehension
Filter a list (Ruby: `arr.select { ... }`)	`[x for x in arr if cond(x)]` — Slatkin: prefer this. Reach for `list(filter(pred, arr))` only with an existing named predicate.	ruby-diff comprehension
Reduce/fold a list (Ruby: `arr.reduce(:+)`)	`from functools import reduce; reduce(lambda a, b: a+b, arr, 0)`. For sums just use `sum(arr)`.	ruby-diff stdlib
Repeat a string/list N times (Ruby: `"ab"*3`)	Same: `"ab" * 3` → `"ababab"`; `[0] * 3` → `[0, 0, 0]`.	syntax
Is Python's `range`/slice end inclusive or exclusive?	Exclusive. `range(0, 5)` → 0,1,2,3,4. `a[2:5]` excludes index 5.	footgun syntax
Swap two variables	`a, b = b, a` (tuple packing/unpacking).	syntax
Increment a variable (no `++` in Python)	`x += 1`. There is no `++`/`--`.	ruby-diff syntax
Integer (floor) division and remainder	`7 // 2` → 3, `7 % 2` → 1. `divmod(7, 2)` → `(3, 1)`. Note `-7 // 2` → -4 (floors toward -∞).	footgun syntax
Exponentiation, and what does `^` do?	Power is `**` (`2 ** 10`). `^` is bitwise XOR, NOT power.	footgun ruby-diff
Equality vs identity: `==` vs `is`	`==` compares values; `is` compares object identity. Use `is` only for `None`/`True`/`False` singletons.	footgun ruby-diff
Switch/case on a value	`match x:` / `case 1:` / `case _:` (3.10+). Pre-3.10 use an `if/elif` chain or a dict dispatch.	ruby-diff syntax
Create a set literal, and the empty-set gotcha	`{1, 2, 3}` is a set; but `{}` is an empty **dict**. Empty set is `set()`.	set footgun
Add to / remove from a set	`s.add(x)`; `s.remove(x)` (KeyError if absent); `s.discard(x)` (no error if absent).	set
Membership test in a set/dict — complexity?	`x in s` — average O(1) for set/dict (hashing). For a list it's O(n).	set footgun
Set operations: union, intersection, difference, symmetric diff	`a | b`, `a & b`, `a - b`, `a ^ b`. Method forms: `.union`, `.intersection`, `.difference`, `.symmetric_difference`.	set
Set and dict comprehensions	Set: `{x*x for x in nums}`. Dict: `{k: v for k, v in pairs}`.	set comprehension
Immutable, hashable set (usable as dict key / set element)	`frozenset([1, 2, 3])`.	set
Sort a list in place vs. get a sorted copy	`lst.sort()` mutates, returns `None`. `sorted(iterable)` returns a new list and works on any iterable.	sorting footgun
What can you call `.sort()` on?	Only on a `list`. `sorted()` works on any iterable (tuples, sets, dict views, generators).	sorting
Sort by a custom key (e.g. by string length)	`words.sort(key=len)` or `sorted(words, key=lambda w: len(w))`.	sorting
Sort descending	`lst.sort(reverse=True)` or `sorted(lst, reverse=True)`.	sorting
Sort by two keys with a tiebreak	Return a tuple from the key: `sorted(people, key=lambda p: (p.age, p.name))` — sorts by age, then name.	sorting
Multi-key sort with mixed directions (age desc, name asc)	Negate the numeric key: `key=lambda p: (-p.age, p.name)`. For non-numeric mixed order, sort twice (Python sort is stable): sort by minor key first, then major.	sorting footgun
Sort dict items by value	`sorted(d.items(), key=lambda kv: kv[1])` → list of `(key, value)` tuples.	sorting dict
Is Python's sort stable?	Yes — equal elements keep their original relative order. Lets you do multi-pass sorts.	sorting
Get a default when a dict key may be missing (Ruby: `h.fetch(k, default)`)	`d.get(k, default)` — returns `default` (or `None`) instead of raising. `d[k]` raises `KeyError`.	dict footgun
Does `key in dict` check keys or values?	Keys only. To check values: `val in d.values()` (O(n)).	dict footgun
Iterate a dict's keys, values, and pairs	`for k in d:` (keys), `for v in d.values():`, `for k, v in d.items():`.	dict
